timestamp	temperatura
1733426259	22.4083
1740499888	30.4289
1747657065	11.2919
1677308924	12.9783
1580102557	19.816
1671405615	23.4873
1627249463	11.9136
1725760561	8.9939
1548945187	28.2081
1627211543	5.057
1659791225	8.901
1747376220	6.6994
1753027304	15.8813
1644113316	22.3052
1635173800	24.9004
1567850947	8.698
1560245624	7.586
1710943234	15.7616
1704269516	14.7938
1584473482	27.2421
1572233662	12.2941
1615165537	24.4139
1711005924	14.6637
1655055409	18.0832
1705189273	21.7723
1686213559	8.068
1629469580	10.0016
1602975203	19.6408
1609503920	22.3021
1710387537	16.5053
1599479555	5.7951
1596040244	18.6953
1660712203	7.837
1732596013	13.9087
1571605630	20.7975
1705134595	12.7885
1748260510	12.519
1686299113	11.8024
1560166423	5.4018
1750709726	14.1362
1643147818	27.7035
1636130806	24.9082
1727489350	14.9784
1616901933	14.0074
1727299584	19.8224
1559887093	3.9853
1614645603	19.1113
1575193199	12.7983
1589422348	7.9448
1639619760	18.8045
